时间戳(秒),位置X,位置Y,位置Z,姿态X,姿态Y,姿态Z,姿态W,前摄像头图像,前深度图像
0.061,0.210,-0.460,0.180,0.004341,0.002506,-0.708433,0.705760,camera0_00000.jpg,depth_camera0_00000.png
0.251,0.209,-0.464,0.179,0.012326,0.007138,-0.706948,0.707122,camera0_00001.jpg,depth_camera0_00001.png
0.459,0.205,-0.480,0.176,0.022543,0.013150,-0.706735,0.706997,camera0_00002.jpg,depth_camera0_00002.png
0.651,0.196,-0.514,0.170,0.030937,0.018052,-0.706461,0.706845,camera0_00003.jpg,depth_camera0_00003.png
0.856,0.180,-0.575,0.160,0.035470,0.020552,-0.706219,0.706806,camera0_00004.jpg,depth_camera0_00004.png
1.065,0.154,-0.671,0.145,0.033344,0.018971,-0.706311,0.706861,camera0_00005.jpg,depth_camera0_00005.png
1.256,0.124,-0.785,0.126,0.026257,0.014549,-0.706603,0.706973,camera0_00006.jpg,depth_camera0_00006.png
1.466,0.083,-0.934,0.101,0.016354,0.008728,-0.706906,0.707064,camera0_00007.jpg,depth_camera0_00007.png
1.658,0.042,-1.086,0.076,0.007346,0.003708,-0.707063,0.707102,camera0_00008.jpg,depth_camera0_00008.png
1.867,-0.002,-1.247,0.048,-0.000460,-0.000460,-0.707107,0.707107,camera0_00009.jpg,depth_camera0_00009.png
2.058,-0.046,-1.407,0.021,-0.006227,-0.003490,-0.707082,0.707096,camera0_00010.jpg,depth_camera0_00010.png
2.265,-0.091,-1.569,-0.007,-0.011317,-0.006350,-0.707020,0.707075,camera0_00011.jpg,depth_camera0_00011.png
2.452,-0.127,-1.698,-0.029,-0.014804,-0.008374,-0.706955,0.707054,camera0_00012.jpg,depth_camera0_00012.png
2.657,-0.165,-1.836,-0.053,-0.017771,-0.010106,-0.706886,0.707032,camera0_00013.jpg,depth_camera0_00013.png
2.863,-0.196,-1.951,-0.073,-0.019495,-0.011098,-0.706840,0.707018,camera0_00014.jpg,depth_camera0_00014.png
3.055,-0.222,-2.044,-0.089,-0.020212,-0.011490,-0.706819,0.707013,camera0_00015.jpg,depth_camera0_00015.png
3.265,-0.245,-2.128,-0.104,-0.019995,-0.011333,-0.706823,0.707017,camera0_00016.jpg,depth_camera0_00016.png
3.454,-0.262,-2.189,-0.114,-0.018948,-0.010707,-0.706851,0.707028,camera0_00017.jpg,depth_camera0_00017.png
3.661,-0.275,-2.237,-0.123,-0.016899,-0.009519,-0.706902,0.707045,camera0_00018.jpg,depth_camera0_00018.png
3.851,-0.283,-2.265,-0.127,-0.014509,-0.008155,-0.706955,0.707063,camera0_00019.jpg,depth_camera0_00019.png
4.060,-0.288,-2.284,-0.131,-0.011008,-0.006177,-0.707018,0.707083,camera0_00020.jpg,depth_camera0_00020.png
4.251,-0.290,-2.293,-0.132,-0.007217,-0.004049,-0.707068,0.707097,camera0_00021.jpg,depth_camera0_00021.png
